"","w_delta11_mu","z_delta11_mu","w_delta18_mu","z_delta18_mu"
"2921",0.490658,-0.415843,-0.0118222,0.0821665
"2922",0.823913,-1.1177,0.314973,-0.315977
"2923",0.821065,-1.18089,0.281031,-0.197623
"2924",0.798098,-1.64905,0.224927,-0.200863
"2925",1.87402,-2.7794,-0.106892,-0.048084
"2926",1.47706,-0.753338,0.0984059,0.0509862
"2927",1.02099,-1.84371,0.203628,-0.107997
"2928",0.720969,-1.28243,0.0129188,-0.100786
"2929",1.20792,-1.61745,-0.103494,-0.0943046
"2930",1.03972,-1.06886,0.0614703,-0.19166
"2931",1.30251,-1.4411,0.123111,0.0353724
"2932",0.978428,-1.44244,0.285555,-0.210415
"2933",0.868895,-1.04938,0.362265,-0.319902
"2934",1.20972,-0.918082,0.470359,-0.0860955
"2935",1.03358,-0.30907,0.124659,-0.00796143
"2936",0.285621,-0.0460062,0.134824,-0.0749505
"2937",0.556863,-0.483294,0.16126,-0.314638
"2938",0.788458,-0.383284,0.199137,-0.333639
"2939",0.772252,-1.0077,0.043667,0.248559
"2940",0.659182,-0.906687,-0.0723653,0.237974
"2941",0.201311,-0.947667,0.176587,-0.200572
"2942",1.1916,-0.710163,0.474773,-0.430807
"2943",0.368175,-0.894098,0.328452,-0.420495
"2944",1.3763,-1.06643,0.279687,-0.112307
"2945",0.646556,-0.536323,-0.0125314,-0.259611
"2946",0.381472,-0.651347,0.168017,0.0315875
"2947",0.276948,-0.744978,0.0249782,-0.140733
"2948",0.832864,-1.3686,-0.116822,0.261644
"2949",1.0809,-1.59035,0.0843106,-0.138621
"2950",0.7601,-1.79402,0.333919,-0.357771
"2951",0.6906,-1.01038,0.337359,-0.347661
"2952",0.699547,-1.64447,0.233268,-0.366902
"2953",0.373484,-1.11261,0.235357,-0.251734
"2954",1.14738,-1.39785,0.248666,-0.00073637
"2955",1.3921,-2.4887,0.0655323,-0.208337
"2956",1.05087,-0.593423,0.0074666,0.0817846
"2957",1.88224,-3.3892,0.301971,-0.0180427
"2958",2.1386,-3.17187,0.0232409,-0.161019
"2959",2.1267,-3.34096,0.00247652,0.478076
"2960",2.04688,-4.04433,0.118399,0.00981825
"2961",1.36181,-1.48629,0.0457819,0.00351047
"2962",0.543051,-1.45305,0.0610054,0.0887272
"2963",0.468817,-1.2153,0.0408393,-0.00762797
"2964",1.2148,-1.25251,0.195327,-0.355499
"2965",1.91963,-2.5994,0.121422,0.222277
"2966",0.972315,-2.0287,-0.000718026,-0.377681
"2967",0.353486,-0.122664,0.0775486,-0.635005
"2968",1.29146,-2.37359,-0.225989,0.0372015
"2969",1.69635,-1.98494,-0.233879,1.06946
"2970",1.70482,-2.0117,0.0618736,0.0291855
"2971",1.43878,-2.20062,-0.0333372,-0.0363174
"2972",1.37648,-1.86058,0.065485,-0.0150331
"2973",1.30586,-1.96508,-0.0501375,0.25473
"2974",1.28643,-1.62879,0.196875,-0.183902
"2975",2.31362,-3.03662,-0.151438,0.477366
"2976",1.85812,-2.67312,0.00683661,0.583714
"2977",1.68106,-2.5702,-0.150009,0.0950267
"2978",1.01888,-1.08827,-0.025914,0.160419
"2979",0.606435,-0.820551,-0.0524527,-0.0975628
"2980",0.920572,-1.17963,0.406045,0.0543055
"2981",1.06504,-1.51724,0.122344,0.118918
"2982",1.30601,-1.67405,0.0314612,0.743007
"2983",0.659841,-0.802043,0.0587899,0.159806
"2984",1.26623,-2.36641,-0.245112,0.214601
"2985",1.71937,-2.15265,0.197346,0.0530194
"2986",1.12649,-1.14481,0.223183,-0.17531
"2987",0.793648,-1.4889,0.246714,-0.270558
"2988",1.29017,-1.86788,-0.0503089,0.0334191
"2989",0.995484,-1.33598,0.0550469,0.253604
"2990",1.9946,-2.30956,0.0104753,0.303034
"2991",1.23473,-2.70031,-0.108104,0.249363
"2992",0.441741,-0.860169,0.0823607,0.0199995
"2993",0.463465,-1.24983,0.0484189,0.224958
"2994",0.458622,-1.70392,0.354561,-0.557675
"2995",1.31068,-1.4276,0.232421,-0.701667
"2996",0.965091,-1.31281,0.108299,-0.0238739
"2997",1.18723,-1.72911,-0.0772074,0.0489014
"2998",2.16999,-3.39614,-0.0759567,0.241714
"2999",2.19678,-2.83278,0.0655814,0.0193969
"3000",1.68694,-2.75104,0.0243337,0.401032
"3001",1.55864,-2.02421,0.0454586,-0.106408
"3002",0.636778,-1.00644,0.312031,-0.213265
"3003",1.0747,-1.42554,0.276352,-0.325694
"3004",1.28945,-1.00237,0.179574,-0.296741
"3005",0.99633,-0.811811,0.052666,0.000706772
"3006",0.758974,-0.347451,-0.159197,0.452657
"3007",1.15899,-1.18634,-0.0790863,0.229585
"3008",1.21091,-1.85275,0.163229,-0.044241
"3009",1.29774,-2.32952,0.173342,0.0116747
"3010",0.525394,-0.197451,0.0685174,-0.00668221
"3011",1.96633,-3.27729,0.148491,0.13232
"3012",1.99542,-3.14672,0.0869627,-0.231573
"3013",1.08639,-1.77424,0.122299,0.0653623
"3014",0.945505,-1.7996,-0.0311376,0.122125
"3015",0.994383,-1.01174,0.0937549,-0.293705
"3016",1.14539,-0.937053,-0.0180641,-0.394195
"3017",1.1186,-1.15186,0.00815813,-0.317944
"3018",1.54534,-2.5135,-0.0556647,0.565469
"3019",1.04933,-2.27932,-0.101853,0.0247743
"3020",1.44503,-2.30271,0.3265,-0.222111
"3021",1.56139,-1.96396,0.0997667,-0.0491086
"3022",1.29385,-1.89975,0.151737,-0.133531
"3023",1.52245,-2.44524,-0.0415943,0.153106
"3024",0.940549,-1.53661,0.0462121,-0.0327472
"3025",1.4993,-1.84903,0.0497867,-0.237264
"3026",1.21713,-1.95556,0.0152852,-0.00783417
"3027",1.30662,-1.91374,0.210518,0.107442
"3028",0.829031,-0.86619,0.279075,-0.0449865
"3029",1.17753,-1.40738,0.182492,-0.32801
"3030",0.93853,-0.429737,0.285946,-0.0348731
"3031",1.17306,-1.21515,0.203591,-0.0847304
"3032",1.00804,-1.18476,-0.0692386,0.276176
"3033",1.63365,-2.26874,-0.211898,0.36
"3034",1.49177,-2.02953,0.0215455,0.107637
"3035",0.815321,-1.07225,0.160222,0.129945
"3036",1.87578,-3.06276,0.394856,-0.0616564
"3037",1.5127,-2.38394,0.284466,-0.944493
"3038",2.14457,-3.89415,-0.318505,-0.141919
"3039",1.56239,-2.82447,-0.115257,0.922593
"3040",1.49455,-2.62233,-0.0610906,0.564992
"3041",1.37471,-1.73871,0.0198021,0.276001
"3042",1.48003,-2.19097,-0.0384671,0.260173
"3043",1.30802,-1.74223,-0.0923337,0.0602973
"3044",1.59565,-2.27096,0.488001,-0.787367
"3045",1.27831,-1.80736,0.499628,-0.46816
"3046",1.28148,-2.49886,0.217039,-0.451631
"3047",2.23358,-2.57782,0.181573,-0.127318
"3048",0.550308,-1.40572,0.288782,-0.318166
"3049",1.95236,-2.40656,0.280203,-0.485054
"3050",1.55262,-2.62929,0.248348,-0.677564
"3051",1.09114,-1.2465,-0.080074,0.158481
"3052",1.23987,-1.28613,0.110434,-0.333642
"3053",1.02638,-1.38839,0.23909,0.2119
"3054",0.957512,-0.911585,0.506599,-0.668983
"3055",1.35803,-2.06169,0.0705679,-0.298413
"3056",0.92276,-1.03723,0.0410167,0.319945
"3057",0.88578,-1.37658,0.0474065,0.442973
"3058",1.7925,-2.51444,0.35376,-0.437286
"3059",1.73613,-2.07005,0.20364,0.0554861
"3060",1.30137,-1.13946,0.354292,-0.165802
"3061",0.740141,-0.0912424,0.204139,-0.127808
"3062",1.71579,-2.45468,0.170078,-0.383913
"3063",0.17091,-0.697665,0.0634376,-0.0419707
"3064",0.838717,-0.719742,0.0470444,-0.172885
"3065",1.04553,-0.966075,-0.0822447,0.277672
"3066",1.31694,-1.22653,0.0325728,0.121107
"3067",0.881781,-1.91058,0.377286,-0.398293
"3068",1.18045,-2.09238,0.145858,-0.20392
"3069",0.960756,-1.2992,0.101238,-0.105084
"3070",1.11698,-0.693699,0.27771,-0.126201
"3071",1.06948,-1.08329,0.263199,-0.315604
"3072",0.635162,-1.8021,0.417889,-0.168195
"3073",1.43926,-1.52794,0.133114,-0.145768
"3074",1.05139,-1.70881,0.129961,-0.150043
"3075",1.24309,-2.21745,-0.00939969,0.0402773
"3076",1.33512,-2.14229,0.390459,-0.476267
"3077",1.43276,-2.53979,0.337857,-0.430437
"3078",2.26735,-3.8794,-0.219439,0.538083
"3079",2.04574,-3.17055,-0.319309,0.696128
"3080",1.7235,-2.428,0.201051,-0.159107
"3081",2.0957,-2.74295,0.1458,0.0471001
"3082",0.839898,-1.18769,0.116461,0.194075
"3083",1.79878,-1.89475,0.0882457,-0.191805
"3084",1.01697,-1.71218,0.227968,-0.00394073
"3085",1.54124,-2.13814,-0.0827327,0.308072
"3086",1.87567,-2.85714,0.138669,0.181761
"3087",2.1133,-2.62996,0.0551948,-0.222058
"3088",1.49358,-2.43203,0.159811,-0.741652
"3089",0.469541,-0.734835,-0.341296,0.834651
"3090",1.74218,-2.1686,-0.103581,0.0641399
"3091",0.74473,-1.41808,-0.00112074,0.391688
"3092",1.90491,-2.40873,0.271699,-0.0726657
"3093",1.7925,-2.46494,-0.130112,-0.0388793
"3094",1.8615,-1.99595,0.226749,0.0855182
"3095",1.34332,-1.22193,0.0936016,0.33643
"3096",1.86505,-2.39453,0.130739,0.0572678
"3097",1.42547,-0.793408,0.105458,-0.234991
"3098",0.574796,-0.677707,0.0748833,0.431659
"3099",1.10671,-1.70591,-0.340232,-0.281383
"3100",1.10354,-1.64577,-0.0809009,1.4783
"3101",1.02176,-1.49878,0.0276156,0.621792
"3102",1.55988,-1.83068,-0.0862859,0.56235
"3103",0.903511,-0.949782,0.368493,-0.0893787
"3104",0.851139,-0.645636,0.384431,-0.298692
"3105",1.92581,-2.95088,-0.173964,0.35932
"3106",1.64006,-2.07617,0.236856,-0.0710735
"3107",1.35936,-1.48207,0.20757,-0.17377
"3108",1.15164,-1.41794,0.0251707,0.211917
"3109",1.43186,-3.03394,0.285165,0.443795
"3110",2.25108,-3.66477,0.331839,0.0240246
"3111",1.55329,-2.41016,0.340576,-0.718995
"3112",0.489881,-0.49887,0.419788,0.0465359
"3113",0.992807,-0.0467888,0.384829,0.0808375
"3114",0.474373,-0.993625,0.0417189,-0.0461171
"3115",0.96158,-0.356118,0.20747,0.0785659
"3116",0.759805,-1.22801,-0.0199149,0.131247
"3117",1.00912,-1.50804,-0.0412101,0.199316
"3118",0.819708,-1.67328,0.163172,0.132804
"3119",1.11126,-2.21935,0.0864985,-0.029838
"3120",1.04881,-1.06037,0.0879498,0.0763518
"3121",1.13155,-1.71673,0.168351,-0.156992
"3122",1.49461,-2.12074,0.258957,-0.285938
"3123",0.846799,-0.837306,0.0393582,-0.454212
"3124",0.831062,-0.926176,0.0714498,-0.176272
"3125",0.389758,-1.32094,0.370478,-0.447898
"3126",1.39114,-1.40848,0.175052,-0.104839
"3127",0.685242,-1.3494,-0.211729,0.14423
"3128",1.29881,-1.66975,0.0994155,-0.0281834
"3129",1.33607,-1.78317,-0.0362867,-0.119204
"3130",1.02381,-1.59015,-0.149956,0.311502
"3131",1.34251,-1.8697,-0.143866,0.157478
"3132",1.26482,-1.53093,0.135705,-0.101816
"3133",1.2884,-1.06851,0.196567,0.457399
"3134",1.37834,-1.59038,-0.227466,-0.132664
"3135",1.19248,-2.26396,0.0345968,0.364334
"3136",0.919847,-0.734373,-0.0850954,0.0145551
"3137",1.56749,-1.8429,-0.248789,0.879672
"3138",0.922839,-1.58657,0.330022,-0.628215
"3139",1.34659,-1.62335,-0.0469869,0.379299
"3140",1.13941,-1.6495,-0.169026,0.459906
"3141",1.58937,-1.62208,0.231076,-0.420234
"3142",1.26499,-1.67811,0.18138,-0.105917
"3143",1.51682,-2.2682,0.174918,0.114196
"3144",1.01925,-0.940096,-0.175122,0.323948
"3145",0.780311,-0.427235,-0.241351,0.431212
"3146",0.788341,-0.764942,-0.0571441,0.644321
"3147",1.1725,-1.21151,-0.279691,0.568825
"3148",1.48011,-1.82924,-0.131061,0.30039
"3149",0.991917,-0.733799,0.134148,0.0045745
"3150",1.7093,-1.92848,0.287833,-0.319701
"3151",1.45344,-1.82032,0.115415,-0.167337
"3152",1.07143,-2.53975,0.259307,-0.420135
"3153",1.08851,-1.47142,0.1193,-0.113866
"3154",0.665673,-1.03161,0.0981596,-0.322875
"3155",0.958264,-0.756312,0.361683,-0.219712
"3156",1.37519,-2.06222,0.386409,-0.441851
"3157",0.516853,-0.818264,0.604338,-0.744714
"3158",1.80269,-2.34668,0.170951,-0.683635
"3159",2.10312,-3.11135,0.0332684,-0.168253
"3160",1.21437,-1.6811,-0.0739836,0.308404
"3161",1.81026,-2.81747,0.0270708,-0.0461156
"3162",1.61285,-2.51287,-0.186592,0.415989
"3163",1.73269,-2.33498,0.00373928,-0.327861
"3164",1.34214,-2.26605,0.219785,-0.0923426
"3165",1.53066,-2.18202,0.394396,-0.301101
"3166",1.37931,-1.20199,0.540726,0.206985
"3167",1.33454,-1.84239,0.699614,-0.236064
"3168",1.86878,-3.41738,0.338821,0.267998
"3169",1.81725,-2.24263,0.205636,0.116349
"3170",1.22926,-1.25202,0.152045,0.41543
"3171",1.72886,-2.76998,-0.13197,0.291053
"3172",2.35326,-3.38896,-0.0927025,0.168899
"3173",1.83059,-3.02375,0.114825,0.292897
"3174",1.00064,-1.13771,0.170053,0.386832
"3175",1.20178,-1.72035,0.0552183,0.130203
"3176",0.240596,0.607005,0.158672,-0.1068
"3177",1.0406,-1.2935,0.00223155,0.199409
"3178",1.68039,-2.9827,-0.177561,0.162889
"3179",1.77465,-1.39993,-0.0314785,0.149978
"3180",0.513777,-0.879256,0.357976,-0.617743
"3181",0.95557,-1.13232,0.220951,-0.157484
"3182",1.90583,-1.6167,-0.22663,0.524078
"3183",1.61361,-1.47887,0.168307,0.101638
"3184",1.03025,-1.79396,0.20169,-0.12355
"3185",1.23841,-1.45175,0.44758,-0.660165
"3186",0.478777,-1.06181,0.347982,-0.246342
"3187",1.75573,-1.02105,0.399974,-0.440369
"3188",0.866416,-2.22948,0.377907,-0.662466
"3189",1.22171,-0.148435,0.371654,-0.525595
"3190",2.15279,-2.49174,0.2926,-0.240381
"3191",5.08759,-9.39168,0.0223857,-0.0895335
"3192",4.81816,-9.34696,-0.011332,-0.0382025
"3193",5.22458,-8.8129,0.414119,-0.164527
"3194",4.64029,-7.41112,0.41404,-0.985572
"3195",4.16858,-6.6871,0.399061,-0.236299
"3196",4.20309,-6.78845,0.00346628,0.454756
"3197",3.57665,-6.92664,0.33047,-0.0181369
"3198",4.0994,-7.46532,0.203222,-0.217221
"3199",3.78425,-6.59726,0.335531,0.0950561
"3200",4.68857,-7.92672,-0.015351,-0.0418276
"3201",5.03083,-8.86661,-0.235168,0.279467
"3202",5.23319,-9.7174,-0.22218,0.540623
"3203",7.56813,-14.1191,0.445619,-0.102194
"3204",7.02203,-13.4056,0.00416991,-0.18981
"3205",6.31946,-12.8717,0.529011,-0.631332
"3206",7.15604,-13.1871,0.530868,-0.835042
"3207",7.34471,-13.5236,0.209319,-0.136346
"3208",5.78376,-10.8964,0.0202472,0.176542
"3209",6.20406,-11.2001,-0.0226976,0.182858
"3210",6.49704,-9.96765,0.0834187,0.151945
"3211",5.78904,-9.87527,0.123975,-0.256122
"3212",6.64648,-13.1419,0.214608,-0.0885961
"3213",6.61018,-12.5047,0.109744,0.0399236
"3214",6.19378,-11.3911,0.237506,-0.333834
"3215",4.833,-9.33627,0.213614,-0.0257704
"3216",4.96492,-9.04732,0.217587,-0.0239735
"3217",4.72736,-8.37015,0.197002,-0.00994035
"3218",4.28376,-8.20525,0.261147,-0.429744
"3219",4.59762,-7.86064,0.29378,-0.0978971
"3220",5.1262,-9.66223,0.107757,0.133672
"3221",4.96859,-8.66159,-0.106593,0.141997
"3222",4.89287,-9.60583,-0.0140299,0.117877
"3223",5.45394,-9.45952,0.155326,0.0145248
"3224",4.56099,-8.6897,0.0682722,-0.0141213
"3225",4.70504,-9.06581,0.0211406,0.145361
"3226",4.7872,-8.89565,0.0209343,0.123502
"3227",5.17361,-9.12084,0.233212,-0.202646
"3228",0.617409,-0.778552,0.237566,-0.185768
"3229",0.751562,-0.428558,0.0876389,-0.107324
"3230",1.49507,-1.8458,0.174207,-0.000651515
"3231",1.70411,-1.461,-0.0797564,0.177591
"3232",1.19698,-1.51274,0.154291,-0.26347
"3233",1.97592,-2.78675,-0.147996,0.585042
"3234",1.09048,-1.75647,-0.523613,0.922682
"3235",0.921843,-1.17093,-0.362918,0.984637
"3236",0.772911,-1.64154,-0.0235227,0.193965
"3237",1.22113,-1.9351,-0.2797,0.212518
"3238",1.86222,-2.90793,0.103098,0.348171
"3239",1.49126,-1.90915,-0.159523,0.735353
"3240",0.994536,-1.99029,0.114748,-0.00854663
"3241",1.17629,-2.07361,-0.0507189,-0.00327323
"3242",0.779419,-1.70523,0.158241,-0.189009
"3243",1.48015,-1.9867,0.452825,-0.64442
"3244",1.4652,-2.43687,0.452561,-0.562645
"3245",1.25546,-1.87717,0.516855,-0.37002
"3246",1.43786,-1.47532,0.678405,-0.432563
"3247",1.18421,-1.59599,0.0300721,-0.264255
"3248",1.90304,-2.70335,0.0940441,-0.10027
"3249",1.54605,-1.51806,-0.0794745,0.269915
"3250",1.48816,-2.04695,0.0908053,-0.270136
"3251",1.50834,-2.65384,0.180807,0.0645423
"3252",1.81288,-2.83833,0.27707,-0.174847
"3253",1.57916,-2.33753,0.0676051,0.0102215
"3254",1.30514,-2.32319,0.101793,0.0344989
"3255",1.88698,-2.8082,0.154711,0.0318086
"3256",1.25535,-1.91976,0.164364,-0.235617
"3257",1.41063,-2.12038,0.199333,-0.0200745
"3258",1.37651,-2.33033,-0.103952,0.483085
"3259",1.77717,-3.1307,0.192024,-0.0531481
"3260",1.51727,-3.07303,0.172357,-0.208851
"3261",2.08311,-2.30732,0.109679,0.0448769
"3262",1.85828,-3.62561,0.108509,0.191483
"3263",0.980859,-2.46548,-0.0774957,0.325242
"3264",1.11908,-2.16591,0.139696,0.299831
"3265",1.15773,-2.15197,0.0519773,-0.0623916
"3266",1.09835,-2.20632,0.219874,-0.267961
"3267",1.75905,-2.84492,-0.341348,0.494865
"3268",1.60875,-1.9378,-0.0322583,0.287095
"3269",1.95989,-2.22599,-0.167069,0.191914
"3270",1.11529,-2.01602,0.116953,0.618466
"3271",1.42153,-2.31679,0.161186,0.00515225
"3272",1.14137,-1.63562,0.0369002,0.0350007
"3273",1.69743,-1.60588,-0.116971,0.358395
"3274",1.09196,-2.03782,-0.0472388,-0.113866
"3275",1.26734,-1.35493,-0.0653373,0.996661
"3276",1.25152,-1.66838,-0.15434,0.278149
"3277",0.655665,-0.475255,0.180316,-0.299265
"3278",1.22411,-1.53129,-0.0737785,0.232962
"3279",1.06786,-1.6554,0.109996,-0.0570405
"3280",2.15,-3.22726,0.106963,-0.165681
"3281",1.9045,-3.26606,0.24023,-0.119363
"3282",1.64002,-2.90037,-0.0229325,0.174313
"3283",1.82941,-2.68801,0.323711,-0.385035
"3284",1.30464,-1.81881,0.25592,-0.408697
"3285",1.7962,-2.30806,-0.240824,0.322482
"3286",0.714402,-1.01043,0.132132,0.0281933
"3287",1.29598,-2.25166,0.213112,-0.0139952
"3288",1.21056,-2.24691,0.136519,-0.0583141
"3289",1.76834,-2.27621,0.0104075,-0.0853603
"3290",1.99509,-2.16022,-0.167938,-0.224067
"3291",1.06797,-1.66541,0.192774,0.0428442
"3292",1.08414,-1.59308,0.0157034,-0.0292469
"3293",1.48155,-1.70078,0.130592,0.0782954
"3294",1.11043,-1.60197,0.0259055,0.0728712
"3295",1.12541,-1.75067,0.256974,-0.171338
"3296",0.884204,-1.26924,0.0594602,0.0225234
"3297",1.09461,-1.61482,0.212634,-0.172839
"3298",0.820705,-1.18178,0.365262,-0.31793
"3299",1.12777,-1.30612,-0.0135738,0.288391
"3300",1.42468,-2.16999,0.0823781,-0.0547344
"3301",1.25675,-1.95104,0.197682,-0.229587
"3302",0.988246,-0.687763,0.0831981,-0.0475769
"3303",1.38106,-2.59241,-0.197575,0.175477
"3304",1.51836,-2.12782,-0.0709553,0.181996
"3305",1.14628,-1.87619,0.0922969,-0.09562
"3306",1.15506,-1.62115,0.226358,0.153414
"3307",0.631436,-1.10423,-0.254883,0.369937
"3308",0.606044,-0.991068,0.0457832,0.370752
"3309",1.18864,-1.9641,-0.274874,0.241784
"3310",1.05346,-1.4981,-0.108168,0.576871
"3311",1.38004,-1.48918,0.0327004,0.449139
"3312",0.672681,-2.16279,0.279421,-0.48018
"3313",1.9794,-1.67052,0.111122,-0.0365991
"3314",0.416892,-1.0424,-0.113942,0.328669
"3315",1.51022,-2.74171,0.149194,-0.00665949
"3316",1.50053,-1.29302,0.237549,-0.318292
"3317",1.24741,-1.75374,0.00440208,0.0324774
"3318",1.11073,-1.54841,0.172834,-0.262601
"3319",1.59196,-2.46456,0.240626,-0.376775
"3320",1.24946,-1.49375,0.0997409,-0.203392
"3321",1.51758,-1.51404,0.304954,-0.412383
"3322",1.29758,-1.60101,0.234511,-0.531561
"3323",1.34377,-0.182049,-0.189541,0.19082
"3324",1.05097,-1.90899,-0.271145,0.425286
"3325",0.849084,-1.62586,-0.134203,0.521086
"3326",1.41819,-1.75247,0.0809273,0.142468
"3327",0.875738,-1.48306,0.00820675,-0.0029154
"3328",0.916033,-1.2201,0.149467,-0.595716
"3329",1.12548,-1.41037,0.269883,0.0958295
"3330",1.14914,-1.51833,-0.0650965,0.0571286
"3331",1.09213,-1.83238,0.0332468,-0.0961154
"3332",0.776958,-0.245612,0.0436191,-0.109699
"3333",1.20207,-1.14084,0.391108,-0.100433
"3334",1.07788,-1.39007,0.0583061,-0.357664
"3335",0.826095,-1.26104,0.436448,-0.394887
"3336",0.962124,-1.1951,0.105177,-0.115645
"3337",0.970058,-1.64239,0.143002,-0.100826
"3338",0.994688,-0.649719,0.467609,-0.609671
"3339",0.341569,-0.924515,0.41624,-0.845362
"3340",0.579258,-0.944185,0.676432,-0.971152
"3341",1.04838,-1.00024,0.643246,-1.01047
"3342",0.608795,-0.423625,0.574143,-0.788322
"3343",0.85603,-1.44213,0.427536,-0.688095
"3344",0.880003,-2.01599,0.239782,-0.312542
"3345",0.794246,-0.971166,0.159807,-0.225877
"3346",1.51096,-2.46405,0.0924794,0.287638
"3347",1.28205,-1.59984,-0.0775338,0.881914
"3348",1.09281,-1.22514,-0.0387769,-0.131124
"3349",1.31413,-1.67492,0.36739,-0.409576
"3350",1.51307,-2.33806,0.110779,-0.040116
"3351",0.779822,-1.13735,0.0560841,0.198097
"3352",1.64157,-1.30839,-0.0228819,-0.0864693
"3353",1.47062,-1.08666,0.157384,-0.320146
"3354",1.58374,-0.879586,0.256145,-0.0341247
"3355",0.141144,-1.26625,-0.0292012,-0.0426828
"3356",0.649075,-1.60559,0.0453549,-0.123588
"3357",1.26791,-0.96591,-0.218794,0.511279
"3358",1.38234,-1.43244,-0.0432259,0.288004
"3359",1.0493,-1.92971,0.130676,-0.0238487
"3360",1.93232,-2.57516,0.19215,-0.311684
"3361",2.38336,-3.26475,0.296523,-0.572698
"3362",1.80732,-2.2002,0.359265,-0.715975
"3363",1.13123,-0.636919,0.211277,0.0287681
"3364",1.25883,-1.92271,0.107272,-0.446081
"3365",0.703559,-0.394479,0.0660082,-0.335899
"3366",0.922052,-1.10219,0.228911,0.0103719
"3367",1.15765,-1.06574,0.265595,-0.13215
"3368",1.29274,-1.5594,0.309031,-0.260951
"3369",1.08382,-1.71716,0.228359,-0.387189
"3370",0.628713,-0.829249,0.228197,-0.291516
"3371",0.429939,-1.25053,0.184482,-0.349128
"3372",1.49717,-1.39379,0.523731,-0.608834
"3373",1.978,-2.52826,0.475492,-0.572478
"3374",0.961602,-1.26163,0.231305,-0.168591
"3375",1.4476,-1.19353,0.310379,-0.511482
"3376",0.850076,-2.13971,0.0651603,-0.03422
"3377",0.611982,-1.16958,0.206329,-0.0372518
"3378",1.18951,-1.44006,0.154999,0.0356524
"3379",1.54137,-2.17513,-0.112925,0.222829
"3380",1.52454,-2.30449,-0.0686445,-0.163946
"3381",1.35469,-1.53866,-0.27342,0.477105
"3382",2.17395,-4.03915,-0.535018,0.269636
"3383",1.83142,-2.47693,0.134562,0.546618
"3384",1.88422,-2.99397,-0.0615033,-0.160241
"3385",1.73934,-3.08207,0.111666,-0.116981
"3386",1.61369,-2.30055,-0.0687735,0.360573
"3387",1.37967,-2.11373,-0.13273,0.25913
"3388",1.15516,-1.32033,-0.12606,0.124716
"3389",0.910558,-0.562498,0.119065,0.321277
"3390",1.06917,-0.996471,0.206309,-0.121764
"3391",0.621953,-0.704993,0.2612,-0.352549
"3392",0.622506,-0.377202,0.357695,-0.0719267
"3393",0.371849,-0.507669,0.312542,-0.158554
"3394",1.23033,-2.03533,-0.0108571,0.268683
"3395",0.296161,-0.361745,0.273458,-0.641125
"3396",1.30608,-0.909099,0.136293,-0.277039
"3397",1.09991,-2.50212,0.0831964,0.269175
"3398",0.593273,0.433577,0.00687095,0.159343
"3399",0.881901,-1.7007,0.051935,0.253907
"3400",0.411946,-1.099,0.133672,0.0398997
"3401",1.01528,-1.22223,-0.0447965,0.413419
"3402",0.70044,-0.555679,-0.0820991,0.227067
"3403",1.33516,-1.14445,0.2608,0.0869931
"3404",0.61843,-0.261583,0.246517,-0.448691
"3405",1.28986,-1.31692,0.357343,-0.582235
"3406",1.55983,-2.18543,-0.135981,0.304797
"3407",1.46193,-1.88095,-0.0872957,-0.000796152
"3408",2.09303,-2.5512,-0.00232429,0.506599
"3409",2.91168,-2.67581,-0.111315,0.458806
"3410",1.70678,-2.05432,0.0988302,0.615067
"3411",1.48661,-1.95562,-0.121033,-0.0901047
"3412",1.55582,-1.9096,0.102319,-0.12826
"3413",1.54243,-2.10319,0.351024,-0.099727
"3414",0.0693892,-0.189097,0.0989591,0.154746
"3415",1.34331,-3.07358,0.45586,-0.786367
"3416",2.16712,-2.79786,0.448087,-0.607373
"3417",1.83989,-3.06221,0.319317,-0.382388
"3418",1.81003,-3.14839,0.115297,-0.0305334
"3419",2.33316,-3.5299,0.226951,-0.25878
"3420",3.10907,-4.60132,-0.0754082,0.363706
"3421",2.62868,-4.2843,0.229502,0.10809
"3422",1.77167,-2.74519,0.437271,-0.298403
"3423",0.800585,-1.00764,0.331084,0.434212
"3424",1.14518,-1.26683,0.165092,-0.0461447
"3425",1.31348,-0.297248,0.0794647,0.111414
"3426",2.03754,-1.46753,0.0291878,0.164303
"3427",-0.443258,-0.863501,0.154633,-0.0494599
"3428",1.93462,-1.14672,0.212485,-0.103484
"3429",0.818763,-1.21106,0.419407,-0.00860451
"3430",1.43655,-1.1219,0.360971,0.11537
"3431",1.18316,-2.29011,-0.0815794,0.0462681
"3432",0.878504,-0.548292,0.316701,-0.0469428
"3433",2.11683,-3.26439,0.236677,-0.0753104
"3434",2.23752,-4.11831,0.216988,-0.20624
"3435",1.99489,-3.77361,0.212051,-0.289004
"3436",2.35772,-3.51922,-0.0611122,0.380247
"3437",2.09961,-3.30249,-0.239668,0.774871
"3438",1.31416,-1.70046,0.0710161,0.00123227
"3439",1.48712,-1.80826,0.674019,-1.01722
"3440",1.81822,-3.04565,0.447573,-0.985101
"3441",1.83942,-2.66534,0.396306,-0.810951
"3442",1.191,-1.57054,-0.731342,1.16037
"3443",1.343,-1.00484,0.571536,-0.867937
"3444",1.4147,-1.91083,0.335543,-0.540532
"3445",0.998708,-1.69573,0.333243,-0.51299
"3446",1.0416,-1.50547,0.465343,-0.649706
"3447",1.17065,-1.21275,-0.308311,0.527052
"3448",0.767128,-1.10372,-0.195646,0.6209
"3449",1.17312,-0.925183,-0.142747,0.425659
