"","w_delta11_mu","z_delta11_mu","w_delta18_mu","z_delta18_mu"
"126",0.515505,-0.645607,0.318179,-0.294267
"127",0.968841,-0.986988,0.0145955,0.151817
"128",0.652459,-1.02828,0.0758425,0.17254
"129",0.973363,-1.34964,0.111079,-0.124961
"130",0.804071,-0.205851,0.064521,0.08341
"131",1.19975,-0.986164,0.066963,-0.071748
"132",1.2925,-1.28175,-0.00556849,0.237592
"133",1.06718,-1.57299,0.23396,-0.236712
"134",1.75976,-2.80069,0.237551,-0.246954
"135",0.707137,-0.240176,-0.00229719,0.110411
"136",0.485199,-0.939376,0.205062,-0.316358
"137",1.1219,-0.891866,0.0851888,0.395665
"138",0.984187,-1.59143,0.0365677,0.137948
"139",2.32428,-3.7576,0.0750872,0.0310866
"140",2.19116,-4.04449,0.0429627,-0.0280309
"141",2.39949,-4.54916,0.0702963,-0.0716122
"142",2.29372,-4.32438,-0.075499,0.294347
"143",2.7454,-4.72968,0.0232833,0.201064
"144",2.49056,-4.41937,0.047468,-0.475367
"145",2.02097,-2.44616,0.127808,-0.462974
"146",2.72579,-3.18432,0.150323,0.13303
"147",1.57113,-3.03407,0.0857754,-0.300736
"148",1.18614,-1.65847,-0.234569,0.535083
"149",0.947358,-1.42856,0.162066,-0.150392
"150",0.804466,-0.928945,0.0974248,0.0248145
"151",1.1076,-1.41193,0.227364,-0.0336267
"152",1.33243,-1.7634,-0.157673,0.404352
"153",0.86842,-1.21567,-0.317411,0.761591
"154",1.47345,-2.53004,0.313447,0.341757
"155",1.90711,-2.23492,-0.197564,0.350525
"156",1.56575,-3.04076,-0.467756,0.850912
"157",1.39457,-2.85139,-0.249338,0.865422
"158",2.0606,-2.50875,-0.693516,0.764772
"159",0.464563,-0.628049,0.0551689,-0.454059
"160",1.32244,-2.11716,0.563004,0.185693
"161",0.437257,-1.39616,0.140551,0.451579
"162",1.30616,-1.75468,-0.029055,0.455842
"163",0.710247,-0.703453,-0.179913,0.277992
"164",1.01444,-1.27423,-0.168879,0.572554
"165",1.17867,-2.01946,0.108583,-0.31704
"166",0.82564,-1.78204,0.0310804,0.223385
"167",0.695379,-1.80902,0.0533803,-0.041085
"168",0.881818,-1.12089,0.182952,-0.222084
"169",0.90906,-1.47187,0.109094,-0.264055
"170",1.62138,-1.95604,0.167206,0.210247
"171",1.23246,-1.1119,-0.0319257,0.220603
"172",1.16994,-1.2378,-0.0965381,0.40708
"173",0.94535,-0.979246,0.348392,-0.468191
"174",0.995915,-1.32967,0.242313,0.00985974
"175",0.589691,-0.718729,0.439849,-0.156077
"176",1.02742,-1.51177,0.384669,-0.0180938
"177",0.555949,-0.364506,-0.12381,0.319988
"178",1.80194,-2.55583,0.124128,0.300855
"179",1.43443,-2.16909,-0.0694316,0.244449
"180",1.17034,-1.50763,0.0985097,0.0842135
"181",1.18677,-1.5192,0.102123,0.0899225
"182",1.56141,-2.24891,-0.141216,0.383332
"183",1.1719,-1.58336,-0.0595549,0.367473
"184",1.19493,-2.23207,0.297764,-0.241561
"185",1.29232,-1.76644,0.436484,-0.548873
"186",1.23484,-1.83933,0.345529,-0.497096
"187",1.49724,-1.63202,0.604217,-0.646217
"188",0.503932,-0.78699,-0.227948,0.342827
"189",0.689,-1.60143,0.0335189,0.654491
"190",0.757782,-1.5485,0.0976867,0.0748266
"191",0.714151,-1.25133,0.235148,-0.267332
"192",1.60948,-2.056,-0.0215488,0.200422
"193",1.07684,-1.47815,0.0881718,-0.0151366
"194",1.05602,-1.30889,-0.126676,0.364578
"195",0.968421,-1.97924,-0.0958165,0.421861
"196",0.890833,-1.16836,0.340104,0.0848195
"197",1.06921,-1.76845,0.183835,-0.264273
"198",0.349782,-0.718726,0.127493,0.0489637
"199",0.68206,-1.25074,0.191209,-0.141485
"200",1.06244,-1.62876,0.232602,-0.0358803
"201",0.75213,-1.42921,-0.0562545,0.323832
"202",0.932256,-0.649403,0.191288,0.388903
"203",0.829907,-1.37074,-0.20588,-0.328691
"204",1.25034,-1.82546,0.298346,0.478939
"205",1.30917,-1.99289,-0.14459,0.262272
"206",0.968788,-1.22583,0.0942182,0.520828
"207",2.2934,-1.85282,-0.0947089,0.953073
"208",1.78056,-2.2594,-0.414566,0.309955
"209",0.634006,-2.97374,-0.227009,0.0464187
"210",1.3622,-2.01853,0.042088,0.0332468
