"","Rat","CatLH","PR","Local.Rate_mu","Local.Rate_sigma","Bn_predictions_mu","Bn_predictions_sigma","RatLabel"
"63",4,18,39,0.782934556,0.107496932626127,0.640192169275953,0,"Rat #4"
"64",4,18,42,0.765298112,0.21467625239742,0.611308953048998,0,"Rat #4"
"65",4,18,45,0.5650031084,0.132785287070426,0.584153257132248,0,"Rat #4"
"66",4,18,48,0.6819158708,0.252778542390224,0.558738205224762,0,"Rat #4"
"67",4,18,51,0.7312645426,0.371622601974598,0.535012613181695,0,"Rat #4"
"68",4,18,54,0.4879352332,0.263354181177434,0.512890731051617,0,"Rat #4"
"69",4,18,57,0.5917984146,0.200116448526346,0.492270325604231,0,"Rat #4"
"70",4,18,60,0.4483931784,0.175629592600102,0.473043535075611,0,"Rat #4"
"71",4,18,63,0.48467207925,0.161938181060442,0.455103241310506,0,"Rat #4"
"72",4,18,66,0.40621823475,0.0805791107145395,0.438346665216327,0,"Rat #4"
"73",4,18,69,0.42463136475,0.0614275625253318,0.422677249497334,0,"Rat #4"
"74",4,18,72,0.308766483,0.0640122885322103,0.408005494388281,0,"Rat #4"
"75",4,18,75,0.270863429666667,0.0157495555183272,0.39424916376329,0,"Rat #4"
"76",4,18,78,0.283296408,NA,0.381333123318478,NA,"Rat #4"
"77",5,1,3,0.8264634214,0.431068677070941,0.314205785414911,0,"Rat #5"
"78",5,1,6,0.8965282306,0.138750645169685,0.580821712066103,0,"Rat #5"
"79",5,1,9,1.2961930414,0.74552433197491,0.785756591290653,0,"Rat #5"
"80",5,1,12,0.7381795638,0.142235970031464,0.928857852443581,0,"Rat #5"
"81",5,1,15,0.8831988202,0.278900198990855,1.01862854513778,0,"Rat #5"
"82",5,1,18,1.139534585,0.453269099360421,1.06674892137041,0,"Rat #5"
"83",5,1,21,0.9386731922,0.356102225837662,1.08453470550813,0,"Rat #5"
"84",5,1,24,0.992911371,0.203038909556896,1.08137271474996,0,"Rat #5"
"85",5,1,27,1.0267864366,0.210321694991205,1.06440391975914,0,"Rat #5"
"86",5,1,30,0.9455462296,0.18869386340349,1.03877993031935,0,"Rat #5"
"87",5,1,33,0.8218077444,0.213972630464071,1.00808960796283,0,"Rat #5"
"88",5,1,36,0.9330108902,0.219215376929285,0.974770689844504,0,"Rat #5"
"89",5,1,39,1.0077960752,0.200930905095562,0.940444145635854,0,"Rat #5"
"90",5,1,42,0.8457692564,0.205934988513273,0.906164531712597,0,"Rat #5"
"91",5,1,45,0.819586329,0.307875265503725,0.87259938580403,0,"Rat #5"
"92",5,1,48,0.8532927428,0.206810829650609,0.840154602595235,0,"Rat #5"
"93",5,1,51,0.7838897364,0.169842147093538,0.809060799743035,0,"Rat #5"
"94",5,1,54,0.7694447102,0.300030610247996,0.779432313878336,0,"Rat #5"
"95",5,1,57,0.6851146226,0.257808425798716,0.751307297644592,0,"Rat #5"
"96",5,1,60,0.7890609234,0.196560870860206,0.72467487851272,0,"Rat #5"
"97",5,1,63,0.5848468786,0.1488287718618,0.699493497271737,0,"Rat #5"
"98",5,1,66,0.7118137272,0.188999652333634,0.675703243500876,0,"Rat #5"
"99",5,1,69,0.7176355444,0.196210370346353,0.653234106800678,0,"Rat #5"
